_key,SpaceBud #,Type,Type Color,Emotion,Background,Background_Color,Belt,Belt_Pipe,Belt_Pipe_Color,chestplate ,Chestplate_Color,Covered_Helmet,Covered_Helmet_Color,Gloves,Gloves_Color,Suit,Star_Suit,Camo_Suit,Suit_Color,Watch,Wool_Boots,Special_Background,Amulet,Amulet_Position,Virtual_Reality,Eye_Patch,Ski_Goggles,Snorkel,X-Ray,Sword,Sword_Color,Sun_Glasses,Revolver,Jetpack,Backpack,Pistol,Pistol_Color,Umbrella,Umbrella_Color,Flag,Cardano_Coin,Cardano_Coin_Color,Flowers,Axe,Harpoon,Harpoon_Color,Hockey_Stick,Bazooka,Anchor,Arc,Wine,Jo-Jo,Blaster,Lamp_Fish,Baguette,Candle,Binoculars,SPO,gadget_count,left_hand,right_hand,both_hands
0,spacebud #0,frog,orange,classic,background,green,belt,pipe,purple,chestplate ,red,covered helmet,classic,gloves,light,star,star suit,none,light,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1,spacebud #1,frog,orange,classic,background,cyan,none,none,none,chestplate ,orange,covered helmet,n/a,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,sword,classic,none,revolver,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,classic sword,revolver,none
2,spacebud #2,alien,pink,happy,background,cyan,belt,none,light,chestplate ,red,none,n/a,gloves,blue,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,ski goggles,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
3,spacebud #3,frog,green,classic,background,blue,belt,none,cyan,chestplate ,blue,none,n/a,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,spo,3,none,none,spo
4,spacebud #4,ape,orange,shy,special background,blue gradient,belt,none,green,chestplate ,yellow,covered helmet,classic,gloves,green,classic,none,none,classic,none,none,special background,none,n/a,none,none,none,none,x-ray,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,none,none
5,spacebud #5,ape,blue,shy,background,purple,belt,pipe,purple,none,none,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,1,none,none,none
6,spacebud #6,tiger,red,joking,background,green,belt,none,red,chestplate ,yellow,none,n/a,gloves,purple,classic,none,none,classic,watch,none,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
7,spacebud #7,robot,black,confused,background,cyan,belt,none,cyan,none,none,none,n/a,gloves,light,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
8,spacebud #8,ape,purple,shy,background,cyan,none,none,none,none,none,none,n/a,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none
9,spacebud #9,dog,blue,joking,background,green,belt,pipe,light,chestplate ,purple,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
